,Supplement,Evidence_Level,Popularity,Sample_Size,Citation,Review,Other_Metastudy,Metastudy_Number,Metastudy_Size,Ind_Study_Reviews,Number_Positive,Percentage_Positive,performance_enhancement,body,mental,performance,strength,endurance,cycling,circuit_training,football,other,rowing,running,swimming,weight_training,study_date
0,AAKG,1.0,242,1,20,0,0,0,0,1,1,100.00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2006-01-01
1,AAKG,0.0,242,1,20,0,0,0,0,1,0,0.00,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2006-01-01
2,Baking soda,5.0,947,14,140,0,0,0,0,14,9,64.29,1,0,0,1,0,0,1,0,0,1,1,1,1,0,2010-01-01
3,BCAAs,4.0,5490,3,660,0,0,0,0,3,3,100.00,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2011-01-01
4,BCAAs,3.0,5490,4,660,0,0,0,0,4,2,50.00,1,0,0,0,1,1,1,0,0,1,0,0,0,0,2009-01-01
5,BCAAs,1.0,5490,2,660,0,0,0,0,2,2,100.00,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2002-01-01
6,BCAAs,0.0,5490,1,660,0,0,0,0,1,0,0.00,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2003-01-01
7,BCAAs,6.0,5490,7,660,0,0,0,0,7,7,100.00,0,1,0,1,0,0,1,1,0,0,0,0,1,1,2010-01-01
8,Beetroot juice,4.0,267,4,5,0,0,0,0,4,4,100.00,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2011-01-01
9,Beta alanine,1.0,920,4,284,0,0,0,0,4,1,25.00,1,0,0,1,0,1,1,0,0,0,1,1,0,0,2010-01-01
10,Beta alanine,2.0,920,2,284,0,0,0,0,2,2,100.00,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2008-01-01
11,Beta alanine,1.0,920,1,284,0,0,0,0,1,1,100.00,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2008-01-01
12,Betaine,1.0,1040,1,162,0,0,0,0,1,1,100.00,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2008-01-01
13,Betaine,0.0,1040,1,162,0,0,0,0,1,0,0.00,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2008-01-01
14,Bitter orange,0.0,406,3,1680,0,1,0,1,2,0,0.00,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2004-01-01
15,Bovine colostrum,2.0,165,5,194,0,0,0,0,5,3,60.00,1,0,0,0,0,1,1,0,0,0,1,1,1,0,2006-01-01
16,Bovine colostrum,1.0,165,3,194,0,0,0,0,3,1,33.33,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2011-01-01
17,Bovine colostrum,1.0,165,1,194,0,0,0,0,1,1,100.00,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2001-01-01
18,Bovine colostrum,1.0,165,3,194,0,0,0,0,3,2,66.67,1,0,0,1,1,0,1,0,0,1,0,0,0,1,2005-01-01
19,Caffeine,4.0,7250,7,409,0,0,0,0,7,5,71.43,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2008-01-01
20,Caffeine,5.0,7250,15,409,0,0,0,0,15,10,66.67,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2011-01-01
21,Caffeine,3.0,7250,6,409,0,0,0,0,6,3,50.00,0,0,1,1,0,0,1,0,1,1,0,1,0,0,2006-01-01
22,Caffeine,4.0,7250,3,409,0,0,0,0,3,3,100.00,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2007-01-01
23,Caffeine,6.0,7250,11,409,0,0,0,0,11,9,81.82,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2011-01-01
24,Caffeine,3.0,7250,14,409,0,0,0,0,14,8,57.14,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2010-01-01
25,Calcium pyruvate,0.0,571,1,52,0,0,0,0,1,0,0.00,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2005-01-01
26,Casein,5.0,2380,5,40,0,0,0,0,5,5,100.00,1,1,0,1,1,1,1,0,0,0,0,0,0,1,2011-01-01
27,Chitosan,1.0,983,1,54,1,0,15,0,0,-1,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2008-01-01
28,Chromium ,0.5,4140,10,1220,0,1,0,10,10,0,0.00,1,1,0,1,1,1,0,0,0,0,0,1,0,1,2003-01-01
29,CLA,4.0,3620,11,374,0,0,0,0,11,6,54.55,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2007-01-01
30,CLA,0.0,3620,1,374,0,0,0,0,1,0,0.00,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2006-01-01
31,Cordyceps sinensis,1.0,1070,2,7,0,0,0,0,2,1,50.00,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2010-01-01
32,Creatine,2.0,1590,3,5090,0,0,0,0,3,2,66.67,1,0,0,0,0,1,1,0,0,0,1,1,0,0,2005-01-01
33,Creatine,3.0,1590,11,5090,0,0,0,0,11,5,45.45,1,0,0,1,0,0,1,1,0,1,1,1,0,0,2010-01-01
34,Creatine,0.0,1590,2,5090,0,0,0,0,2,0,0.00,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2007-01-01
35,Creatine,5.0,1590,19,5090,0,0,0,0,19,12,63.16,1,1,0,0,1,0,0,0,0,1,0,0,0,1,2003-01-01
36,Creatine,5.0,1590,12,5090,0,0,0,0,12,9,75.00,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2004-01-01
37,Creatine pyruvate,0.0,245,1,18,0,0,0,0,1,0,0.00,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2003-01-01
38,DHEA,1.0,3820,2,601,0,0,0,0,2,2,100.00,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2010-01-01
39,DHEA,0.0,3820,2,601,0,0,0,0,2,0,0.00,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2008-01-01
40,Fish oil,0.0,10800,1,3090,0,0,0,0,1,0,0.00,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2007-01-01
41,Fish oil,3.0,10800,4,3090,0,0,0,0,4,4,100.00,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2008-01-01
42,Fish oil,0.0,10800,3,3090,0,0,0,0,3,0,0.00,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2009-01-01
43,Fish oil,1.0,10800,1,3090,0,0,0,0,1,1,100.00,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2007-01-01
44,Fish oil,2.0,10800,6,3090,0,0,0,0,6,2,33.33,0,1,0,1,0,0,1,0,0,0,0,0,1,1,2007-01-01
45,Forskolin,1.0,286,1,13,0,0,0,0,1,1,100.00,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2005-01-01
